,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1000SATSUSDT,1386538.513533656,2024-07-04 20:00:00,0.0001441,0.1998001998001655,2024-07-05 04:00:00,0.0001202,0.16666192932674545,-33.50473260258129,-0.16769118667591934,Long,Closed,0
1,1,1000SATSUSDT,1362235.3682142484,2024-07-05 08:00:00,0.0001221,0.16632893845894614,2024-07-07 08:00:00,0.0001334,0.18172219811978074,15.045208524242247,0.09045454545454532,Long,Closed,1
2,2,1000SATSUSDT,1116743.3300791634,2024-07-07 12:00:00,0.0001624,0.18135911680482764,2024-07-09 12:00:00,0.0001539,0.17186679849918327,-9.845544220976892,-0.054287561576354476,Long,Closed,2
3,3,1000SATSUSDT,1008368.0675625616,2024-07-10 00:00:00,0.0001701,0.17152340829235868,2024-07-10 08:00:00,0.0001855,0.1870522765328552,15.170292555638268,0.08844444444444484,Long,Closed,3
4,4,1000SATSUSDT,867062.4510478948,2024-07-12 04:00:00,0.0002153,0.18667854571057774,2024-07-12 08:00:00,0.0002165,0.1877190206518692,0.6660773748950105,0.0035680445889457522,Long,Closed,4
5,5,1000SATSUSDT,751781.5315952802,2024-07-15 12:00:00,0.0002492,0.18734395767353362,2024-07-16 04:00:00,0.0002412,0.18132970542078158,-6.382925915856534,-0.0340706260032101,Long,Closed,5
6,6,1000SATSUSDT,692830.8128141415,2024-07-16 08:00:00,0.0002612,0.1809674083070263,2024-07-17 00:00:00,0.0002814,0.19496259072589942,13.61925241981272,0.07525803981623284,Long,Closed,6
7,7,1000SATSUSDT,686566.8845451426,2024-07-17 16:00:00,0.0002834,0.1945730550800704,2024-07-19 00:00:00,0.0002804,0.192513354426458,-2.446787063141974,-0.012575158786167932,Long,Closed,7
8,8,1000SATSUSDT,656850.2986655448,2024-07-19 20:00:00,0.0002925,0.19212871235964712,2024-07-20 08:00:00,0.0002919,0.19173460218047253,-0.7779734937394643,-0.004049230769230733,Long,Closed,8
9,9,1000SATSUSDT,725640.9406986343,2024-07-22 20:00:00,0.0002637,0.19135151606221257,2024-07-23 00:00:00,0.000268,0.194471772107234,2.7344327568346936,0.014290102389078655,Long,Closed,9
10,10,1000SATSUSDT,758730.3249335762,2024-07-23 04:00:00,0.0002558,0.19408321711799204,2024-07-23 12:00:00,0.000262,0.198787345132597,4.3112574523376175,0.02221344800625515,Long,Closed,10
11,11,1000SATSUSDT,737235.8514301174,2024-07-24 04:00:00,0.0002691,0.1983901676198343,2024-07-24 08:00:00,0.000267,0.19684197233184134,-1.9434274279549038,-0.009795986622073436,Long,Closed,11
12,12,1000SATSUSDT,687845.5240820437,2024-07-24 12:00:00,0.0002856,0.19644868167782192,2024-07-25 04:00:00,0.0002765,0.19018928740868507,-6.6460322382331185,-0.0338308823529412,Long,Closed,12
13,13,1000SATSUSDT,602951.997561766,2024-07-25 12:00:00,0.0003148,0.18980928883243564,2024-07-27 00:00:00,0.0003213,0.19372847681659539,3.5356502185024183,0.018627382465057067,Long,Closed,13
14,14,1000SATSUSDT,717940.6124502264,2024-07-31 20:00:00,0.0002693,0.19334140693283075,2024-08-01 00:00:00,0.0002678,0.19226449601417064,-1.4625168216223396,-0.0075644262903823865,Long,Closed,14
15,15,1000SATSUSDT,734892.1913710821,2024-08-01 04:00:00,0.0002611,0.191880351166958,2024-08-01 08:00:00,0.0002602,0.19121894819475554,-1.0445022715957,-0.005443508234392854,Long,Closed,15
16,16,1000SATSUSDT,750145.017115592,2024-08-01 12:00:00,0.0002544,0.19083689235418433,2024-08-01 20:00:00,0.0002601,0.19511271895176546,3.8898769862528972,0.020383254716981106,Long,Closed,16
17,17,1000SATSUSDT,826848.7615688503,2024-08-03 12:00:00,0.0002355,0.1947228833494421,2024-08-04 00:00:00,0.0002328,0.19249039169322835,-2.6197049312785783,-0.013453503184713325,Long,Closed,17
18,18,1000SATSUSDT,902752.7984305879,2024-08-04 12:00:00,0.0002128,0.19210579550599505,2024-08-05 00:00:00,0.0001732,0.15635678468817785,-36.09747339804543,-0.18790413533834557,Long,Closed,18
19,19,1000SATSUSDT,909879.7872884532,2024-08-05 04:00:00,0.0001715,0.15604438351994077,2024-08-06 04:00:00,0.0002208,0.20090145703329046,44.5001276727675,0.28517609329446075,Long,Closed,19
20,20,1000SATSUSDT,828170.4069423232,2024-08-08 00:00:00,0.0002421,0.20050005552070616,2024-08-08 08:00:00,0.0002437,0.20182512817184414,0.9227474674151388,0.004602230483271387,Long,Closed,20
21,21,1000SATSUSDT,658671.9462475795,2024-08-12 12:00:00,0.0003058,0.2014218811624744,2024-08-12 20:00:00,0.0003222,0.21222410108097015,10.388573936216865,0.05157619359058228,Long,Closed,21
22,22,1000SATSUSDT,659813.3236853153,2024-08-21 20:00:00,0.000321,0.21180007690296065,2024-08-22 00:00:00,0.0003194,0.21074437558508974,-1.4782457703845284,-0.006979439252336204,Long,Closed,22
23,23,1000SATSUSDT,531119.4643979876,2024-08-23 16:00:00,0.000396,0.21032330790157516,2024-08-24 04:00:00,0.0003983,0.21154488266971846,0.7997065775440807,0.003802272727272874,Long,Closed,23
24,24,1000SATSUSDT,572612.4642567866,2024-08-26 12:00:00,0.0003687,0.21112221557146427,2024-08-26 16:00:00,0.0003597,0.20596870339316617,-5.570603097275706,-0.026385679414157773,Long,Closed,24
25,25,1000SATSUSDT,602630.2477638838,2024-08-27 08:00:00,0.0003411,0.20555717751224734,2024-08-27 12:00:00,0.0003506,0.21128216486601767,5.308148011378651,0.02582321899736164,Long,Closed,25
26,26,1000SATSUSDT,658114.9272112148,2024-08-27 20:00:00,0.0003204,0.21086002267844606,2024-08-29 00:00:00,0.0003056,0.20111992175574725,-10.152080867160151,-0.04814606741573011,Long,Closed,26
27,27,1000SATSUSDT,620649.60961732,2024-08-29 12:00:00,0.0003234,0.2007180837502176,2024-08-29 16:00:00,0.0003063,0.19010497542578514,-11.003931383632137,-0.05482282003710545,Long,Closed,27
28,28,1000SATSUSDT,647526.0931913117,2024-08-30 00:00:00,0.000293,0.18972514530503304,2024-08-30 04:00:00,0.0002991,0.19367505447352132,3.5665089686884475,0.018798293515358475,Long,Closed,28
29,29,1000SATSUSDT,636234.6653315342,2024-09-02 12:00:00,0.0003038,0.19328809132770175,2024-09-02 16:00:00,0.0003012,0.1916338811978581,-2.039132102387568,-0.010549703752468734,Long,Closed,29
30,30,1000SATSUSDT,615945.2377466664,2024-09-04 16:00:00,0.0003105,0.1912509963203206,2024-09-04 20:00:00,0.0003042,0.18737054132253594,-4.259076535446865,-0.022269565217391252,Long,Closed,30
31,31,1000SATSUSDT,549827.0350091349,2024-09-07 12:00:00,0.0003401,0.18699617460657691,2024-09-07 16:00:00,0.000333,0.18309240265804194,-4.273860525829457,-0.022855336665686298,Long,Closed,31
